nombre;cuit;domicilio;id_pais;contacto;email;telefono;activo
CENTRALCOM SA;30-69125102-7;CORDOBA AV. 1342 Piso:2 Dpto:D  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;jamidisa;jamidisa@gmail.com;NULL;1
CENTRO DE CORREDORES Y AGENTES DE LA BOLSA DE CEREALES;30-52582248-2;BOUCHARD AV. 454 Piso:07 Dpto:715  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;jlasalvia;jlasalvia@centrodecorredores.com.ar;Jorge 1136247239;1
CENTRO DE SERVICIOS HOSPITALARIOS SOCIEDAD ANONIMA;30-61878318-5;CORDOBA AV. 2300  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;prizza;prizza@cshsa.com.ar;Juan Pablo 11 5978-4888 / 4951-1815;1
CENTRO DIAGNOSTICO VETERINARIO SA;30-60451851-9;CONDE 4799  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;florencia.bitochi;"florencia.bitochi@cdv.com.ar; proveedores@cdv.com.ar";0230-4496130 / 15 6651-6617;1
CENTRO EDUCATIVO COMPLEMENTARIO NUESTA  SENORA DEL VALLE;30-67845921-2;ANGEL GALLARDO 3844  BUENOS_AIRES;1;cecyjardinnsdelvalle;"cecyjardinnsdelvalle@gmail.com; loreboe@gmail.com ";1131516877;1
CENTRO INTEGRAL DE LA CONSTRUCCION S.R.L.;30-70929602-3;RIVADAVIA 765 LOBOS BUENOS_AIRES;1;dvistalli;dvistalli@hotmail.com;NULL;1
CERAGON ARGENTINA SOCIEDAD ANONIMA;30-70749399-9;MAIPU 1300 Piso:23  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;agostinar;"agostinar@ceragon.com; Viviana.Romer@ceragon.com; andress@ceragon.com";Agostina: 1161213525;1
CERTANT SA;30-70706101-0;CHACABUCO 271 Piso:7  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;rbenitez;rbenitez@certant.com;NULL;1
CERVECERIA Y MALTERIA QUILMES SAICA Y G;33-50835825-9;12 DE OCTUBRE Y GRAN CANARIA 0 QUILMES BUENOS_AIRES;1;marhalec;marhalec@quilmes.com.ar;Luisina: +54 9 11 2154-2584;1
CGC CONSULTORES S.R.L.;30-71731371-9;OLAZABAL AV. 5187 Piso:2 Dpto:B  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;vgalzerano;vgalzerano@cgcconsultores.com.ar;NULL;1
CHEEK SOCIEDAD ANONIMA;30-67729108-3;ESMERALDA 1320 Piso:1 Dpto:A  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;recepcion;recepcion@cheeky.com.ar;116998-1906;1
CHEP ARGENTINA S A;30-69620713-1;RECONQUISTA 1088 Piso:9  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;Guillermo.Barboza;"Guillermo.Barboza@chep.com; gabriel.rodriguezkrisko@chep.com";NULL;1
CHEVRON BUSINESS SUPPORT CENTER S.R.L;30-70966582-7;GRIERSON,CECILIA BOULEVARD 355 Piso:19  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;rodrigosuarez;"rodrigosuarez@chevron.com; EBeltramino@chevron.com; NPRK@chevron.com";Elina: 4338-1800 Int. 2780;1
CHIATIB S.A;30-70951802-6;MANSO JUANA 1750 Piso:5 Dpto:1  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;maria.martinelli;maria.martinelli@isec.edu.ar;NULL;1
CHOKOLATE S.R.L.;30-71608538-0;BELGRANO 140  JUJUY;1;chokolatedeportes;chokolatedeportes@gmail.com;3886430554;1
CHS DE ARGENTINA S.A.;30-71116016-3;ZEBALLOS 2740 Piso:2 BECCAR BUENOS_AIRES;1;diego.bologna;diego.bologna@chsinc.com;Cel : (011) 153-0182361Diego Bologna;1
CIA DE EMPRENDIMIENTOS ITEMS SA;30-70923215-7;124 E/47 Y 48 723 ENSENADA BUENOS_AIRES;1;itemssa;itemssa@hotmail.com;2214242352;1
CIEL  S.A.;30-71117627-2;COLECTORA RUTA 9 - ACCESO SUR 2227  JUJUY;1;jefe.repuesto;jefe.repuesto@autociel.com.ar;NULL;1
CIEXSA COMPAeIA INTEGRADA DE EXPORTACION S. A.;30-70888307-3;RUTA 8 KM. 280,3 0 COLON BUENOS_AIRES;1;mgiasso;mgiasso@ciex-sa.com.ar;NULL;1
CIGLIUTTI GUERINI S A C I F I Y A;30-63674112-0;"MONSE&#209;OR  BUFANO 8338 ALDO_BONZI BUENOS_AIRES";1;yanet.lozas;yanet.lozas@cigue.com.ar;11 5097-5226;1
CINCO YARDAS S.R.L.;30-71119457-2;OLAZABAL 3599  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;NULL;NULL;+54 9 11 6517-4625;1
CIP SEGURIDAD PERIMETRAL S.R.L.;33-71453367-9;DIEGO PALMA 3340  Dpto:107 BENAVIDEZ BUENOS_AIRES;1;jimena.cerezales;jimena.cerezales@cipseguridad.com.ar;NULL;1
CITY CENTER IGUAZU S. A.;30-71737824-1;SAN LORENZO 1950 POSADAS MISIONES;1;iguazu.compras;iguazu.compras@citycenter-iguazu.com.ar;NULL;1
CLAUDIO GUSTAVO AREVALO;20-14877647-5;FORTUNATO DIAZ 1239 LOBOS BUENOS_AIRES;1;NULL;NULL;NULL;1
CLEAR SOLUTION SRL;30-71519716-9;LANZA 2375  Dpto:2  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;macarena.zakcortella;macarena.zakcortella@clear-bi.com;NULL;1
CLINICA DE CUYO S.A.;33-70837425-9;JOSE V ZAPATA 63  MENDOZA;1;daniel.gonzalez;"daniel.gonzalez@clinicadecuyo.com.ar; atilio.aciar@clinicadecuyo.com.ar";Daniel: 0261 405 9000 int 2026;1
CLINICA DEL VALLE SOCIEDAD RESPONSABILIDAD LIMITADA;30-67027950-9;AMEGHINO 1334 COMODORO_RIVADAVIA CHUBUT;1;compras;compras@clinicadelvalle.com.ar;NULL;1
CLUB ATLETICO MONTE GRANDE;30-55156550-1;H YRIGOYEN 77 MONTE_GRANDE BUENOS_AIRES;1;NULL;NULL;Adrien Subinaga: 11 3198-3233;1
CLUB DEPORTIVO MUNICIPAL;30-66908801-5;JOSE MANAVELLA 42 ADELIA_MARIA CORDOBA;1;gerencia_cdm;gerencia_cdm@ctam.com.ar;NULL;1
CLUB DE REGATAS RESISTENCIA;30-53127200-1;AV  AVALOS 1085 RESISTENCIA CHACO;1;crr_clubdepor;crr_clubdepor@hotmail.com.ar;3625534806;1
CLUB NAUTICO SAN ISIDRO;30-50676194-4;AV MITRE 1999 SAN_ISIDRO BUENOS_AIRES;1;vorellano;vorellano@cnsi.org.ar;11 4732-7071 / 11 2889-8292;1
CLUB NEWMAN;30-57585242-0;URUGUAY 775 Piso:8  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;NULL;NULL;NULL;1
CODAM S A;30-51952725-8;AVENIDA VELEZ SARSFIELD 5575 MUNRO BUENOS_AIRES;1;ymorello;ymorello@codam.com.ar;4762-3432;1
CODEUR MATERIALES S.R.L.;30-71221561-1;AV. DR. R. UNCAL 0     M:1508 CONCEPCION_DEL_URUGUAY ENTRE_RIOS;1;barracaoeste;"barracaoeste@gmail.com;maitesdg@gmail.com";1564707806;1
COFARSUR S. A.;30-51964753-9;COLONIA IMPIRA 2479  CORDOBA;1;NULL;NULL;NULL;1
COFCO INTERNATIONAL ARGENTINA S.A;33-50673744-9;FRANCISCO NARCISO DE LAPRIDA 3175 Piso:01 VILLA_MARTELLI BUENOS_AIRES;1;margaritaescuder;"margaritaescuder@cofcointernational.com; rcabello@cofcointernational.com ";NULL;1
COFFEE SYNERGIES S.A.;30-71691979-6;3 949  BUENOS_AIRES;1;matiaspieroni7;matiaspieroni7@gmail.com;NULL;1
COLEGIO ABOGADOS DEL DEPARTAMENTO JUDICIAL DE SAN NICOLAS;30-54123689-5;MITRE 133 SAN_NICOLAS BUENOS_AIRES;1;NULL;NULL;NULL;1
COLEGIO DE ESCRIBANOS DE LA PROVINCIA DE BUENOS AIRES;30-50014749-7;13 770  BUENOS_AIRES;1;compras;compras@colescba.org.ar;NULL;1
COLEGIO DE KINESIOLOGOS DE ENTRE RIOS;30-63001800-1;BV. RACEDO 57  Dpto:4 S:PB PARANA ENTRE_RIOS;1;ckinesiologosentrerios;ckinesiologosentrerios@yahoo.com.ar;0343- 4230518 / 4223717;1
COLEGIO DE MAGISTRADOS Y FUNCIONARIOS   DEL DEPARTAMENTO JUDICIAL DE QUILMES;30-69595077-9;ALVEAR 777 QUILMES BUENOS_AIRES;1;info;info@cmfq.org.ar;NULL;1
COLEGIO EL TREBOL S.R.L.;30-71411275-5;BAIGORRIA 3054  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;administracion;administracion@shamrockjc.com.ar;NULL;1
COLEGIO NOTARIAL DE LA PROVINCIA DE RIO NEGRO;30-54333721-4;DON BOSCO 1380  RIO_NEGRO;1;megattas;"megattas@gmail.com; colnotro@notarialrionegro.com.ar; bariloche@colegionotarialrn.org";542944659095 Ma. Emilia;1
COLEGIO PUBLICO DE ABOGADOS DE LA CAPITAL FEDERAL;30-61151835-4;CORRIENTES AV. 1441  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;contaduria;contaduria@cpacf.org.ar;NULL;1
COLLAGE LAB S.R.L.;33-71404279-9;LAFINUR 3259  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;produccion;produccion@collagelab.com.ar;NULL;1
COLONIAS DE INMERSION AL IDIOMA SOCIEDAD ANONIMA;30-71186643-0;AV 12 DE OCTUBRE 2434  BUENOS_AIRES;1;olumontefiore;olumontefiore@gmail.com;Olivia: 1158874399;1
COLOR LIVING SA;30-59303662-2;JOSE MATEO LUQUE 350 VILLA_DEL_ROSARIO CORDOBA;1;NULL;NULL;NULL;1
COMBUSTIBLES DOMSELAAR;30-71765357-9;RUTA 210 57802  BUENOS_AIRES;1;spot.domselaar;spot.domselaar@gmail.com;1154654364;1
COME CO S.A;33-51327305-9;CORDOBA Y 25 DE MAYO 400 ARROYO_CABRAL CORDOBA;1;NULL;NULL;NULL;1
COMERCIAL BACI S.R.L.;30-70849088-8;PELLEGRINI CARLOS 1055 Piso:9 Dpto:E  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;cristian;"cristian@baci.com.ar; sac@baci.com.ar";Cristian: +54 9 344 462-0688 / Ines: 11 6022-9171;1
COMERCIAL DEL MAR S A;30-68249630-0;GENOVA 9845  BUENOS_AIRES;1;fmartinez;fmartinez@comercialdelmar.com.ar;NULL;1
COMISION NACIONAL DE ENERGIA ATOMICA;30-54666021-0;LIBERTADOR DEL AV. 8250  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;cantargi;cantargi@cab.cnea.gov.ar;Florencia 02944 444 5100 int 5323;1
COMISION TECNICA MIXTA DE SALTO GRANDE;30-54666205-1;ALEM LEANDRO N. AV. 443 Piso: 7/8  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;Arrigonil;"Arrigonil@saltogrande.org; francej@saltogrande.org; Marsillim@saltogrande.org";5554 3440;1
COMPAeIA DE NEGOCIOS AGROPECUARIOS CNA S.A.;30-71512995-3;ARCOS 2215 Piso:3 Dpto:301  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;fmazzitelli;fmazzitelli@cna-sa.com;NULL;1
COMPAeIA DE SEGUROS LA MERCANTIL ANDINA S.A.;30-50003691-1;BELGRANO AV. 672  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;daniela.mariam;"daniela.mariam@lamercantil.com.ar; marisa.mischkowsky@lamercantil.com.ar";4339-5600 int 5604;1
COMPRE AFUERA SRL;30-71570574-1;TALCAHUANO 1277 Piso:3 Dpto:B  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;aylen.aranguez;aylen.aranguez@replylatam.com;11 62248864;1
CONCRETUS SOCIEDAD ANONIMA;30-71252587-4;LOS CRISANTEMOS 265 Piso:PB Dpto:108 DEL_VISO BUENOS_AIRES;1;NULL;NULL;NULL;1
CONECTAR S.R.L.;30-70755977-9;MARINO GABBARINI 180  CORDOBA;1;metcheverry;metcheverry@grupoconectar.com;NULL;1
CONEXIONES PUBLICO PRIVADAS S.R.L;30-71683448-0;MALVINAS ARGENTINAS 407 Piso:5 Dpto:A  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;pdiegues;pdiegues@b2gov.com;54 9 11 5940-5186;1
CONEXIONHR;30-71744588-7;SARMIENTO 1462 Piso:6 Dpto:E  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;natalia.bardedios;natalia.bardedios@conexion-hr.com;Natalia;1
CONFEDERACION TRABAJADORES DE LA EDUCACION DE LA REPUBLICA ARGENTINA;30-63376957-1;CHILE 654  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;aromero;aromero@suteba.org.ar;4361-6647 (INT. 1701);1
CONGRESOS INTERNACIONALES S A;30-56824658-2;CORDOBA AV. 883 Piso:11  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;proveedores.argentina;"proveedores.argentina@mci-group.com; Facturas.ProveedoresArgentina@mci-group.com";5252 9830;1
CONSEJO DE FEDERACIONES DE BOMBEROS VOLUNTARIOS DE LA REPUBLICA ARGENTINA;30-65467978-5;YRIGOYEN HIPOLITO 1628 Piso:2  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;compras;"compras@bomberosra.org.ar; antonellaruscelli@bomberosra.org.ar";Antonela +5411 4124 5550 Interno 154 +54 911 6157 2528;1
CONSEJO FEDERAL DE INVERSIONES;30-54665967-0;SAN MARTIN 871  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;ABIENATI;ABIENATI@cfi.org.ar; 4317-0700 INT 483;1
CONSEJO PROFESIONAL DE CIENCIAS ECONOMICAS DE LA PCIA DEL NEUQ;30-55248620-6;JUAN B JUSTO 316  NEUQUEN;1;ccastaldi;ccastaldi@cpcen.org.ar;0299-4420641 Cristina Castaldi;1
CONSEJO PROFESIONAL DE CIENCIAS ECONOMICAS DE SAN JUAN;30-56277896-5;SUIPACHA SUR 377  SAN_JUAN;1;NULL;NULL;NULL;1
CONSORCIOABIERTO SRL;30-71527826-6;YAPEYU 2895 BAHIA_BLANCA BUENOS_AIRES;1;alaiuppa;alaiuppa@consorcioabierto.com;NULL;1
CONSORCIO DE GESTION DEL PUERTO LA PLATA;30-70001127-1;G GAGGINO E ITALIA Y ROSAS 0 ENSENADA BUENOS_AIRES;1;ffiorino;ffiorino@puertolaplata.com;NULL;1
CONSTRUCCIONES MINERAS S. A.;33-71729188-9;AVDA. ARTURO ILLIA 1248  CATAMARCA;1;mpedraza;mpedraza@bsdpm.com.ar;NULL;1
CONSTRUCCIONES MINERAS SALTA S. A.;30-71764243-7;SANTA FE 424  SALTA;1;NULL;NULL;NULL;1
CONSULTORES EN ORGANIZACION ASOCIADOS S A;30-63648418-7;TUCUMAN 1463 Piso:3 Dpto:1  SANTA_FE;1;MArata;"MArata@coasa.com.ar; rrodriguez@coasa.com.ar";5277-0502 Int 126 (Romina o Marina);1
Consumidor Final;42.011.889;  ;1;NULL;NULL;NULL;1
CONTENIDOS PUBLICOS SOCIEDAD DEL ESTADO;30-71557564-3;RIVADAVIA MARTIN COMODORO 1151  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;gabrielamolo;gabrielamolo@cpse.gob.ar;NULL;1
CONTROL UNION ARGENTINA S.A.;30-60866381-5;RECONQUISTA 715 Piso:8 Dpto:D  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;NULL;NULL;NULL;1
COOP AGRICOLA MIXTA DE MONTE CARLO LTDA;30-52884474-6;AV EL LIBERTADOR 2611 MONTECARLO MISIONES;1;carntzen;carntzen@montecarlo.com.ar;+54 03751 480053 ext 265 Cristha;1
COOPERACION MUTUAL PATRONAL SOCIEDAD MUTUAL DE SEGUROS GLES;30-50004717-4;25 DE MAYO 530 VENADO_TUERTO SANTA_FE;1;compras;compras@cooperacionseguros.com.ar;Betiana 3462599881;1
COOPERATIVA AGRICOLA GANADERA FEDERADA DE VILLA CAeAS LTDA;30-53425199-4;AVDA 51 Y 48 0 VILLA_CANAS SANTA_FE;1;ealtamirano;ealtamirano@cooperativafederada.com.ar;3462-451313 Int.1127;1
COOPERATIVA DE VIVIENDA CREDITO CONSUMO SERVICIOS PUBLICOS Y AGROPECUARIA MERCURIO LIMITADA;30-70991687-0;"25 DE MAYO Y CORDOBA 0 Piso:1&#186; ARROYO_CABRAL CORDOBA";1;gestionrrhh;gestionrrhh@lorenzati.com;NULL;1
COOPERATIVA ELECTRICA DE GENERAL DEHEZA LTDA;30-54579260-1;GENERAL PAZ 430  CORDOBA;1;kugrote;kugrote@coopdeheza.com.ar; Karen Ugrote 0358 e 4057000;1
COOPERATIVA RURAL LIMITADA ALFA;30-52719642-2;SAAVEDRA 390 TRES_ARROYOS BUENOS_AIRES;1;rrhh;rrhh@coopalfa.com.ar;Julieta: Tel. (02983) 430792  Cel. +549 2983 535777;1
COORDINACION ECOLOGICA AREA METROPOLITANA SOCIEDAD DEL ESTADO;30-57720719-0;ALCORTA AMANCIO 3000  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;mesadeentrada;"mesadeentrada@ceamse.gov.ar; rsalerno@ceamse.gov.ar;ldavid@ceamse.gov.ar ";Telefono 011- 4912-0017 int.  402;1
COR GLOBAL S.A.S.;30-71608664-6;HONDURAS 5839 Piso:PB  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;pilar;pilar@projectcor.com;Pilar 11 3329 3258;1
COROCOTTA SA;30-71632097-5;TUCUMAN 978 Piso:5 Dpto:B  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;marcelo.cuda;marcelo.cuda@hotmail.com;1151626792;1
CORREDORES VIALES SOCIEDAD ANONIMA;30-71580481-2;"SAENZ PE&#209;A R. PTE. AV. 777 Piso:5  CIUDAD_AUTONOMA_DE_BUENOS_AIRES";1;cuentasapagar;cuentasapagar@cvsa.com.ar;NULL;1
CORRIENTE ARGENTINA S A;30-70494338-1;"RUTA NACIONAL N&#176; 9  KM 1592  SALTA";1;Celeste.Moreno.External;Celeste.Moreno.External@fqml.com;+54 9 387 6386930;1
COSECHAR S A;30-66710330-0;"RUTA NAC N&#176; 8 KM 226 0 PERGAMINO BUENOS_AIRES";1;minnuccisantina;minnuccisantina@gmail.com;NULL;1
COSTA LIBRE SA;30-68838652-3;PERU 367 Piso:1 Dpto:B  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;NULL;NULL;NULL;1
COTILLON OTERO SRL;30-70934505-9;PUENTE DEL INCA 2450  BUENOS_AIRES;1;NULLticiana.otero.sansalone; ticiana.otero.sansalone@gmail.com;1133501966;1
CRAVERI S A I C;30-50351776-7;RECONQUISTA 336 Piso:11 Dpto:X  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;crivellin;crivellin@craveri.com.ar;54534555;1
CREATIVA 77 SRL;30-71243347-3;HONDURAS 5550  Dpto:301  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;michelle;michelle@ekumenlabs.com;NULL;1
CREDI PAZ SOCIEDAD ANONIMA;30-54457180-6;AVDA PTE PERON 10175 ITUZAINGO BUENOS_AIRES;1;cpcomprascredipaz;cpcomprascredipaz@gmail.com;Karina: 11 6181-1194;1
CROWN POINT ENERGIA S.A.;30-70934626-8;CORRIENTES AV. 1174 Piso:7  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;naja;naja@crownpointenergy.com;NULL;1
CUBERO RUBIO SRL;30-71253453-9;DEFENSA 1217 Piso:1 Dpto:B  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;ncalvete;ncalvete@cuberorubio.com.ar;NULL;1
CULTIVA  SA;33-68271264-9;UGARTECHE 3107 Piso:03 Dpto:A  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;micaela;micaela@viverodelobos.com;2227533081;1
CUMBRECO S.R.L.;30-71226159-1;COSTA RICA 5546  Dpto:402  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;camila;camila@diwait.com;NULL;1
CW COMUNICACION SRL;30-70926758-9;SAN MARTIN 575 Piso:3 Dpto:C  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;frodriguez;frodriguez@motivacom.com;5032 2067 int 202;1
CYBER OPRAC SA;30-71620762-1;CORDOBA AV. 795 Piso:1 Dpto:2  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;atriderman;atriderman@meta.com.ar;Andrea: 11 5451-6428;1
C Y C MARKETING Y EVENTOS S.A.;30-71632857-7;MAIPU 879 Piso:6 Dpto:A  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;florenciajulian;"florenciajulian@cycme.com.ar;jorgec@cycme.com.ar";1161698285/3988-7354;1
CYNERGIA SAS;33-71635151-9;CARRASCO AV. 199 Piso:9 43 1407-CIUDAD AUTONOMA BUENOS AIRES  ;1;rsessa;rsessa@cynergia.ar;Ruben Sessa 1151015176;1
DAILAN KIFKI SA;30-69476026-7;BENITO LYNCH 2650  BUENOS_AIRES;1;victoriastafforini;victoriastafforini@dailankifkisa.com;NULL;1
DALAMY SOCIEDAD ANONIMA;30-71033500-8;CHARCAS 3323  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;jefe-compras;jefe-compras@alimentosvillares.com.ar;3221-5919 Carina Scatularo ;1
DALLAS MOTORS S.A.;30-71633183-7;RUTA 11 KM 1002.3 0 RESISTENCIA CHACO;1;marketing;marketing@dallasmotors.com.ar;Marea ;1
DANA ALFARO;27-32768807-9;ESPORA 944 CAPITAL_FEDERAL CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;arbizu02;arbizu02@hotmail.com;2964453474;1
DANIELA CELESTE URRUTIA;27-28254238-8;SAN MARTIN 284 CENTENARIO NEUQUEN;1;celeste-urrutia;celeste-urrutia@hotmail.com;NULL;1
DANIEL ALEJANDRO TRUEBA;20-22403290-1;FONROUGE 3022/Oliden 1281   CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;dtrueba.safety;dtrueba.safety@gmail.com;4686-2006 ;1
DANIEL JOSE FIORITO;20-14957802-2;ANASAGASTI (EX GUISE) 2006 Piso:7 Dpto:B  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;camila;camila@fioritoweb.com.ar;1135937619;1
DATABOT;33-71662723-9;DARWIN 1147  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;crodriguez;crodriguez@aquivalabs.com;Candela Rodriguez;1
DAVID ALFREDO SOLIS;20-20024218-2;PERGAMINO 2040 LANUS BUENOS_AIRES;1;isantoro;"isantoro@puntoceromkt.com.ar; dasolis@puntoceromkt.com.ar";42408890 | 49928001;1
DDELSUR S.R.L.;30-70890284-1;DEL PINO VIRREY 2686 Piso:4 Dpto:A  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;info;info@dermassy.com;NULL;1
DEFIBE S.A.;30-71080374-5;14 0 BERAZATEGUI BUENOS_AIRES;1;maria.martinelli;maria.martinelli@isec.edu.ar;NULL;1
DELFINO MAGNUS SOCIEDAD DE RESPONSABILIDAD LIMITADA;30-61103027-0;LIBERTADOR DEL AV. 5926 Piso:3 Dpto:B  T:SUR  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;vromero;vromero@delfinomagnus.com;43113020;1
DELPHIAN  S A;30-59352411-2;RAMAL A TIGRE 1860 SAN_ISIDRO BUENOS_AIRES;1;federicojorge;federicojorge@pilgrimscollege.com;NULL;1
DELTA ARENAS INDUSTRIALES S A;33-69441332-9;BELGRANO 2570 EL_TALAR BUENOS_AIRES;1;marienza;marienza@deltaarenas.com;+54 9 11 3444 3422;1
DELTA ASSET MANAGEMENT S.A;33-70917291-9;CERRITO 1186 Piso:11  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;valeria.ducard;"valeria.ducard@deltaam.com.ar; daniela.echarri@deltaam.com.ar; Luciano.menutti@deltaam.com.ar; leandro.selica@deltaam.com.ar";3752-7500;1
DELTA COMPRESION S R L;30-63831847-0;BENITO LINCH 500  BUENOS_AIRES;1;MSuanes;MSuanes@aspro.com;NULL;1
DEUTSCHE AUTOTEILE UND ZUBEHOR ARGENTINA S.A.;30-70817989-9;OMBU 2971  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;schmee;schmee@liquimoly.com.ar;11 6885 1453;1
DEVEGO S.A.;30-71043939-3;UGARTE MANUEL 1667 Piso:4 Dpto:402  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;eloisa.mendezlynch;eloisa.mendezlynch@jampp.com;NULL;1
DEVENTAS S.A.;30-71529493-8;PEDRAZA MANUELA 2649 Piso:- Dpto:- S:- T:- M:-  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;rocioklapputh;rocioklapputh@agroytec.com;NULL;1
DHQ SRL;33-70871851-9;"RODRIGUEZ PE&#209;A 2021 Piso:1 Dpto:A  CIUDAD_AUTONOMA_DE_BUENOS_AIRES";1;rosario.darnet;rosario.darnet@arpilar.com;NULL;1
DIAGNOSTICO MEDICO SOCIEDAD ANONIMA;30-58091092-7;JUNIN 1023  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;bandreani;bandreani@comercialdmim.com.ar;NULL;1
DIAMOND FILMS S.A.;30-71131819-0;LIBERTADOR DEL AV. 1068 Piso:9  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;mariana;mariana@telefilms.com.ar;NULL;1
DICROM INGENIERIA S A;30-64131212-2;PATRICIOS REGTO. AV. 1052  Dpto:563  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;info;info@dicromingenieria.com.ar;11 5263 0136 Ext 100;1
DIGIPAGO S.R.L.;30-71746099-1;CORRALES VIEJOS 46 Piso:4  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;romina.ifran;romina.ifran@payretailers.com;NULL;1
DINATECH SA;30-70783096-0;MANSO JUANA 1800 Piso:5  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;nahuel.trovato;nahuel.trovato@dinatech.com.ar;NULL;1
DISTRIBUIDORA DEL VALLE S.A;30-65960484-8;JOSIAH WILLIAMS 891 TRELEW CHUBUT;1;jigbazet;jigbazet@quilmes.com.ar;NULL;1
DISTRIBUIDORA LOS CUATRO DEL SUR S.R.L;30-70894509-5;ROMA 3245 LANUS BUENOS_AIRES;1;NULL;NULL;NULL;1
DIWORK SOLUCIONES;30-71643359-1;JUNIN 1028 Piso:3 Dpto:E  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;NULL;NULL;NULL;1
DORADA S.A.;30-71714895-5;RECONQUISTA 629 Piso:2 Dpto:4  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;NULL;NULL;NULL;1
DROGUERIA META S A;30-66183877-5;SARMIENTO 459 Piso:6  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;oalvarez;"oalvarez@meta.com.ar; jlorenzo@meta.com.ar; servgrales@meta.com.ar";Octavio: 11 3511-9700 / 4006-6382 int 281;1
DROGUERIA SUMED SA;30-70881536-1;521 BIS 1730 TOLOSA BUENOS_AIRES;1;vbarale;vbarale@drogueriasumed.com;NULL;1
EAYA CONSULTING S.R.L.;30-70996040-3;MALAVER 1450 FLORIDA BUENOS_AIRES;1;naurteneche;naurteneche@eaya.com.ar;1160043884;1
EC SISTEMAS S R L;30-67780145-6;SAN MARTIN 969 Piso:3  CIUDAD_AUTONOMA_DE_BUENOS_AIRES;1;vcabrera;"vcabrera@ecosistemas.com.ar;jcollado@ecosistemas.com.ar";Vanina (1550009418);1
